covid,home_form,away_form,ranking_diff,home_win,Season
0,0.0,1.0,-1.0,0,2017-2018
0,3.0,3.0,0.0,0,2017-2018
0,0.0,0.0,0.0,1,2017-2018
0,1.0,0.0,1.0,1,2017-2018
0,1.0,0.0,1.0,1,2017-2018
0,0.0,3.0,-3.0,1,2017-2018
0,1.0,3.0,-2.0,0,2017-2018
0,3.0,0.0,3.0,1,2017-2018
0,3.0,0.0,3.0,0,2017-2018
0,3.0,3.0,0.0,0,2017-2018
0,0.0,2.0,-4.0,0,2017-2018
0,0.0,0.5,-1.0,0,2017-2018
0,3.0,2.0,2.0,0,2017-2018
0,3.0,1.5,3.0,1,2017-2018
0,0.0,0.0,0.0,1,2017-2018
0,2.0,0.0,4.0,0,2017-2018
0,1.5,2.0,-1.0,1,2017-2018
0,2.0,1.5,1.0,1,2017-2018
0,1.5,1.5,0.0,0,2017-2018
0,3.0,1.5,3.0,0,2017-2018
0,1.0,0.0,3.0,1,2017-2018
0,0.3333333333333333,2.3333333333333335,-6.0,1,2017-2018
0,1.3333333333333333,1.3333333333333333,0.0,0,2017-2018
0,1.0,2.0,-3.0,0,2017-2018
0,2.3333333333333335,2.3333333333333335,0.0,1,2017-2018
0,1.6666666666666667,1.6666666666666667,0.0,0,2017-2018
0,1.3333333333333333,3.0,-5.0,0,2017-2018
0,1.3333333333333333,0.0,4.0,1,2017-2018
0,1.3333333333333333,1.0,1.0,0,2017-2018
0,0.0,2.3333333333333335,-7.0,1,2017-2018
0,0.0,1.0,-4.0,1,2017-2018
0,0.0,1.25,-5.0,0,2017-2018
0,1.75,0.75,4.0,0,2017-2018
0,1.75,1.75,0.0,0,2017-2018
0,1.5,1.25,1.0,1,2017-2018
0,1.75,1.0,3.0,0,2017-2018
0,2.0,2.5,-2.0,0,2017-2018
0,1.75,0.75,4.0,0,2017-2018
0,2.25,1.5,3.0,0,2017-2018
0,2.5,1.0,6.0,1,2017-2018
0,1.6,1.6,0.0,0,2017-2018
0,0.8,0.6,1.0,1,2017-2018
0,0.8,1.6,-4.0,0,2017-2018
0,2.6,0.0,13.0,1,2017-2018
0,1.6,2.6,-5.0,0,2017-2018
0,1.0,2.0,-5.0,0,2017-2018
0,1.0,1.6,-3.0,0,2017-2018
0,0.8,1.6,-4.0,0,2017-2018
0,0.8,1.8,-5.0,1,2017-2018
0,1.4,1.6,-1.0,1,2017-2018
0,0.6,0.8,-1.0,0,2017-2018
0,2.6,2.6,-3.0,0,2017-2018
0,1.2,1.6,-2.0,0,2017-2018
0,2.6,0.0,16.0,1,2017-2018
0,1.0,1.4,-3.0,1,2017-2018
0,1.0,2.0,-3.0,0,2017-2018
0,0.8,0.8,-1.0,1,2017-2018
0,1.4,1.4,3.0,1,2017-2018
0,0.8,1.2,-2.0,0,2017-2018
0,1.8,2.0,-2.0,0,2017-2018
0,1.8,1.4,5.0,0,2017-2018
0,0.0,2.0,-13.0,1,2017-2018
0,1.6,2.6,-7.0,0,2017-2018
0,3.0,1.0,11.0,1,2017-2018
0,0.8,0.6,-4.0,1,2017-2018
0,2.2,0.8,10.0,1,2017-2018
0,1.6,2.0,-1.0,1,2017-2018
0,1.4,0.6,0.0,0,2017-2018
0,0.8,2.0,-2.0,0,2017-2018
0,0.4,0.6,-4.0,0,2017-2018
0,1.6,1.4,0.0,0,2017-2018
0,1.4,2.0,-2.0,1,2017-2018
0,0.4,2.2,-11.0,1,2017-2018
0,3.0,1.8,9.0,1,2017-2018
0,1.6,0.6,8.0,1,2017-2018
0,0.8,0.6,-1.0,1,2017-2018
0,0.8,0.8,4.0,0,2017-2018
0,0.8,0.6,2.0,0,2017-2018
0,0.8,2.0,-5.0,0,2017-2018
0,2.6,1.2,4.0,1,2017-2018
0,2.0,0.8,8.0,1,2017-2018
0,1.4,1.4,-9.0,0,2017-2018
0,0.6,1.0,-5.0,0,2017-2018
0,1.2,1.0,1.0,1,2017-2018
0,2.0,2.6,0.0,1,2017-2018
0,1.4,0.6,7.0,0,2017-2018
0,0.6,3.0,-15.0,0,2017-2018
0,1.4,1.4,-1.0,0,2017-2018
0,1.2,0.8,1.0,1,2017-2018
0,1.2,1.6,-1.0,1,2017-2018
0,0.8,0.4,2.0,1,2017-2018
0,1.0,0.8,7.0,0,2017-2018
0,1.0,1.6,-3.0,0,2017-2018
0,1.2,1.6,-1.0,0,2017-2018
0,0.6,1.6,-4.0,0,2017-2018
0,1.0,1.6,-7.0,0,2017-2018
0,1.8,2.0,-4.0,1,2017-2018
0,0.8,1.4,-7.0,1,2017-2018
0,3.0,2.4,9.0,1,2017-2018
0,2.4,0.8,16.0,1,2017-2018
0,1.8,2.4,-4.0,1,2017-2018
0,1.4,1.2,-5.0,1,2017-2018
0,2.0,0.6,11.0,1,2017-2018
0,0.8,0.8,-7.0,0,2017-2018
0,1.8,3.0,-18.0,0,2017-2018
0,1.6,1.0,6.0,1,2017-2018
0,1.4,1.0,9.0,1,2017-2018
0,0.4,1.8,-12.0,0,2017-2018
0,0.8,1.0,6.0,1,2017-2018
0,1.6,1.4,3.0,0,2017-2018
0,0.4,1.6,-4.0,0,2017-2018
0,1.0,1.0,-8.0,1,2017-2018
0,2.0,2.4,-3.0,0,2017-2018
0,1.4,1.8,10.0,1,2017-2018
0,0.8,1.2,-4.0,0,2017-2018
0,0.6,1.8,-5.0,0,2017-2018
0,1.8,0.2,13.0,0,2017-2018
0,2.0,1.8,0.0,0,2017-2018
0,1.2,3.0,-19.0,0,2017-2018
0,1.0,1.0,1.0,1,2017-2018
0,1.6,1.0,8.0,0,2017-2018
0,1.6,1.4,-10.0,1,2017-2018
0,1.2,1.8,-8.0,0,2017-2018
0,0.2,0.6,-3.0,0,2017-2018
0,2.4,1.2,10.0,1,2017-2018
0,2.0,1.8,-8.0,0,2017-2018
0,2.6,0.2,17.0,1,2017-2018
0,0.8,0.4,2.0,1,2017-2018
0,3.0,1.4,21.0,1,2017-2018
0,1.0,2.0,-10.0,0,2017-2018
0,2.4,2.4,-4.0,0,2017-2018
0,1.2,2.6,-9.0,0,2017-2018
0,2.6,0.2,14.0,1,2017-2018
0,1.4,0.6,0.0,1,2017-2018
0,1.6,2.4,-8.0,1,2017-2018
0,1.0,0.2,4.0,1,2017-2018
0,1.2,0.8,-3.0,0,2017-2018
0,0.4,1.2,3.0,0,2017-2018
0,1.4,0.8,-2.0,0,2017-2018
0,3.0,0.4,30.0,1,2017-2018
0,1.8,1.4,3.0,1,2017-2018
0,1.2,1.6,-5.0,0,2017-2018
0,0.6,1.0,-2.0,1,2017-2018
0,0.2,1.6,-5.0,0,2017-2018
0,0.2,0.6,-4.0,1,2017-2018
0,1.0,1.0,9.0,1,2017-2018
0,0.2,2.6,-22.0,1,2017-2018
0,2.6,2.0,11.0,0,2017-2018
0,2.4,3.0,-8.0,0,2017-2018
0,0.8,1.8,-11.0,0,2017-2018
0,1.8,0.8,12.0,1,2017-2018
0,1.4,1.4,-11.0,1,2017-2018
0,0.6,2.0,-14.0,0,2017-2018
0,2.2,0.6,17.0,0,2017-2018
0,2.4,1.2,19.0,1,2017-2018
0,0.2,1.6,-4.0,0,2017-2018
0,1.0,2.0,-5.0,0,2017-2018
0,0.8,3.0,-34.0,0,2017-2018
0,1.0,0.4,11.0,1,2017-2018
0,0.8,2.0,-16.0,0,2017-2018
0,1.6,0.2,15.0,1,2017-2018
0,0.2,1.8,-14.0,0,2017-2018
0,2.0,1.0,17.0,1,2017-2018
0,2.6,1.8,12.0,0,2017-2018
0,3.0,1.6,18.0,1,2017-2018
0,0.6,1.0,2.0,0,2017-2018
0,0.8,0.6,4.0,0,2017-2018
0,0.6,1.8,-15.0,0,2017-2018
0,0.8,2.4,-24.0,0,2017-2018
0,2.0,0.8,10.0,1,2017-2018
0,1.6,2.2,-1.0,0,2017-2018
0,0.4,0.2,-4.0,1,2017-2018
0,2.0,1.4,1.0,0,2017-2018
0,2.6,2.4,-13.0,0,2017-2018
0,2.4,2.4,-15.0,0,2017-2018
0,3.0,0.4,36.0,1,2017-2018
0,0.4,1.2,-3.0,0,2017-2018
0,0.6,0.6,2.0,1,2017-2018
0,0.6,1.8,-5.0,0,2017-2018
0,1.4,0.2,2.0,0,2017-2018
0,0.4,1.4,-1.0,0,2017-2018
