covid,home_form,away_form,ranking_diff,home_win,Season
0,0.0,1.0,-1.0,0,2017-2018
0,1.0,3.0,-2.0,0,2017-2018
0,0.0,1.0,-1.0,0,2017-2018
0,1.0,0.0,1.0,1,2017-2018
0,0.0,3.0,-3.0,0,2017-2018
0,0.0,3.0,-3.0,0,2017-2018
0,0.0,3.0,-3.0,1,2017-2018
0,0.0,3.0,-3.0,0,2017-2018
0,3.0,3.0,0.0,0,2017-2018
0,0.0,3.0,-3.0,1,2017-2018
0,0.0,3.0,-6.0,0,2017-2018
0,3.0,2.0,2.0,0,2017-2018
0,1.5,1.5,0.0,0,2017-2018
0,0.0,1.5,-3.0,1,2017-2018
0,0.5,0.0,1.0,0,2017-2018
0,3.0,0.0,6.0,1,2017-2018
0,2.0,0.0,4.0,0,2017-2018
0,1.5,0.0,3.0,0,2017-2018
0,3.0,2.0,2.0,0,2017-2018
0,3.0,1.5,3.0,1,2017-2018
0,3.0,3.0,0.0,1,2017-2018
0,0.0,1.0,-3.0,1,2017-2018
0,1.6666666666666667,1.3333333333333333,1.0,1,2017-2018
0,1.0,0.0,3.0,1,2017-2018
0,0.3333333333333333,1.3333333333333333,-3.0,1,2017-2018
0,1.0,2.3333333333333335,-4.0,0,2017-2018
0,1.0,0.6666666666666666,1.0,1,2017-2018
0,1.6666666666666667,1.0,2.0,0,2017-2018
0,1.0,1.3333333333333333,-1.0,1,2017-2018
0,3.0,2.3333333333333335,2.0,1,2017-2018
0,1.0,2.0,-4.0,0,2017-2018
0,0.0,3.0,-12.0,0,2017-2018
0,1.5,1.0,2.0,1,2017-2018
0,1.0,1.0,0.0,0,2017-2018
0,0.75,3.0,-9.0,1,2017-2018
0,1.0,0.75,1.0,0,2017-2018
0,1.0,1.5,-2.0,0,2017-2018
0,2.0,1.5,2.0,1,2017-2018
0,1.75,0.5,5.0,0,2017-2018
0,2.25,1.5,3.0,0,2017-2018
0,1.4,1.8,-2.0,0,2017-2018
0,0.8,2.0,-6.0,0,2017-2018
0,1.2,1.0,1.0,1,2017-2018
0,2.4,0.8,8.0,1,2017-2018
0,1.4,1.8,-2.0,1,2017-2018
0,1.0,0.8,1.0,0,2017-2018
0,1.2,1.4,-1.0,0,2017-2018
0,1.4,0.0,7.0,0,2017-2018
0,3.0,2.2,4.0,1,2017-2018
0,1.0,1.2,-1.0,0,2017-2018
0,0.4,2.4,-10.0,0,2017-2018
0,1.8,1.2,2.0,0,2017-2018
0,2.2,1.2,3.0,1,2017-2018
0,1.8,1.2,3.0,1,2017-2018
0,1.6,0.8,7.0,0,2017-2018
0,0.6,0.8,-2.0,0,2017-2018
0,0.8,3.0,-11.0,0,2017-2018
0,1.4,1.4,3.0,1,2017-2018
0,2.0,0.8,8.0,0,2017-2018
0,0.8,2.0,-6.0,0,2017-2018
0,2.4,1.0,10.0,0,2017-2018
0,1.0,0.2,1.0,0,2017-2018
0,1.2,0.8,2.0,0,2017-2018
0,2.6,0.6,10.0,1,2017-2018
0,2.6,2.2,4.0,1,2017-2018
0,1.0,2.4,-6.0,0,2017-2018
0,0.8,1.2,-4.0,0,2017-2018
0,2.0,1.4,-3.0,0,2017-2018
0,0.8,1.6,-6.0,1,2017-2018
0,1.2,2.0,-6.0,1,2017-2018
0,2.4,0.8,6.0,0,2017-2018
0,1.0,2.6,-16.0,0,2017-2018
0,1.4,0.8,4.0,1,2017-2018
0,0.4,1.4,-6.0,0,2017-2018
0,1.0,0.6,11.0,1,2017-2018
0,1.0,1.2,2.0,1,2017-2018
0,2.0,2.6,-1.0,0,2017-2018
0,1.0,1.4,-1.0,1,2017-2018
0,0.2,1.8,-11.0,0,2017-2018
0,1.6,1.6,5.0,0,2017-2018
0,1.2,1.6,-10.0,1,2017-2018
0,1.2,1.0,1.0,0,2017-2018
0,0.6,0.4,-3.0,0,2017-2018
0,1.4,1.8,4.0,1,2017-2018
0,2.6,1.4,4.0,1,2017-2018
0,0.8,0.6,0.0,1,2017-2018
0,2.0,2.6,-8.0,0,2017-2018
0,1.4,0.4,4.0,0,2017-2018
